 ALFAA_R, AMXL_R,BIMBOA_R,CEMEXCPO_R,FEMSAUBD_R,WALMEX_R
-1.222487086,-0.04680225,0.242453818,-0.986461987,-1.254274923,1.193394737
-0.412292929,1.112738408,0.50982474,1.676007159,0.711958757,-0.417501041
-1.565155803,-0.960776058,0.123594074,0.052069136,1.247146914,-0.907233577
0.371909325,0.239426179,0.394775259,-0.014237472,1.143572857,-0.228534437
1.056592359,1.20392917,-1.889661247,-1.633754837,2.815117523,0.652475195
-0.145457442,0.439415639,-0.634048074,-1.9115605,-1.496596014,-0.553164289
-0.487866647,-0.61682068,-0.639501066,-0.62453177,-0.269545232,1.005412899
-1.260994688,0.230210982,-0.033770623,0.603304988,-2.099145207,1.847139382
-0.710388978,0.799647327,-0.339131636,-2.159094641,-1.850912162,-0.324064704
0.887339232,0.139869403,1.756322924,-0.622009529,1.738902795,1.523210055
-0.850327144,-1.850655283,-1.590949392,0.714027482,-0.503653886,0.451420416
0.916299025,0.484748221,2.066209412,0.00436614,1.451217811,-0.919348986
1.831059482,0.093935147,0.076564853,-0.038830596,-1.123708221,-0.077678071
1.54711745,-1.172216839,0.601315722,0.670343318,-1.729391021,-1.232222055
1.625278189,0.344037947,0.378480626,-2.622706441,-2.46328753,-0.394872962
0.396950003,1.919369572,-1.096337666,0.943219995,-0.717299766,-0.167806268
0.174579994,1.065672267,-1.867280328,-0.234235717,-0.088729581,0.012176564
1.361264958,-0.043951918,-0.430116419,0.978931294,-0.062962368,0.720060921
-0.803903758,-0.843800153,-1.306691305,-0.647798783,-1.76098693,-0.295170852
0.149284459,0.473139315,1.734426031,-0.833430135,-0.986316552,1.127323287
1.604315993,-1.847110702,0.506842454,-0.963201402,0.198471579,0.187373758
-0.384080126,0.463105426,-0.156130122,0.765692714,2.492429203,0.360195364
0.081510152,-1.844230336,0.588572048,-0.184670695,-1.17164163,0.604158769
1.307683879,0.528249492,-0.268634931,0.25569759,2.414994606,0.146063143
0.250232476,-0.48696566,-1.087703925,1.407243836,-0.497501803,1.213015975
0.394364627,1.062728533,0.531580929,-1.324423327,-0.647763195,0.674443492
1.046485042,0.689220015,0.743279118,-0.307054044,-2.257323737,-0.140223908
-2.191969549,0.794171597,-0.598430051,-0.415948006,0.572010352,-0.940088142
-1.176292393,1.078348944,1.792432475,-0.625642709,-0.390032336,0.280789243
-1.127921073,-0.996763981,1.286686663,-0.137011805,-1.5104188,-0.05601257
-0.798496774,-0.361827707,2.049968732,-0.072659636,-0.530920175,-0.372553965
-0.251018598,-0.621675323,1.648548205,1.733674094,0.784991833,-1.575586258
-0.755222449,-1.680944401,-0.019802494,-1.072246872,-0.035313844,-0.465534676
-0.566145181,1.243560531,1.428596717,-0.451705389,0.209268586,0.079008733
-1.426525421,2.040903695,0.279172891,1.69715754,0.274281075,0.241262894
-0.558165424,0.356304394,-0.727225273,1.139574628,0.901696769,-0.590652111
0.560588659,-1.881371555,2.576440985,-0.448053836,-0.129383751,-1.08175639
-0.735939798,0.320360423,1.348116343,-1.77433519,-0.175172207,0.535234638
0.525234131,-0.679188156,2.308268806,-0.190659215,-0.147332355,0.888994334
0.67521861,-0.000253875,0.245853958,-0.387004199,0.274230454,0.020993098
0.641606774,-1.330573658,-1.27769343,1.210089634,0.592999819,-0.436644658
-1.319112344,0.372103543,1.576396991,0.501796662,-1.019976768,0.366452871
0.096576644,0.402131334,-1.419148653,1.585832697,1.483041916,-0.630927479
0.558301566,0.914116524,0.855319966,0.601616271,0.439711011,1.201246701
-1.259580896,1.121624259,0.072716631,0.46659617,0.780852416,-1.952085595
1.413484745,0.22113722,-0.167236137,-0.760276568,-2.190106481,0.449584357
0.235131717,0.41131653,0.028952572,-0.474506373,-0.112671503,0.675525811
3.247284499,1.518935653,-1.206216075,0.842307799,1.713442361,0.142157495
